No.,name,birth,death,term_start,term_end,election,vice_president,party
1,George Washington,1732,1799,1789-04-30,1797-03-04,"1788-89, 1792",John Adams,Unaffiliated
2,John Adams,1735,1826,1797-03-04,1801-03-04,1796,Thomas Jefferson,Federalist
3,Thomas Jefferson,1743,1826,1801-03-04,1809-03-04,"1800, 1804","Aaron Burr, George Clinton",Democratic-Republican
4,James Madison,1751,1836,1809-03-04,1817-03-04,"1808, 1812","George Clinton, Vacant after April 20, 1812, Elbridge Gerry, Vacant after November 23, 1814",Democratic-Republican
5,James Monroe,1758,1831,1817-03-04,1825-03-04,"1816, 1820",Daniel D. Tompkins,Democratic-Republican
6,John Quincy Adams,1767,1848,1825-03-04,1829-03-04,1824,John C. Calhoun,"Democratic-Republican, National Republican"
7,Andrew Jackson,1767,1845,1829-03-04,1837-03-04,"1828, 1832","John C. Calhoun, Vacant after December 28, 1832, Martin Van Buren",Democratic
8,Martin Van Buren,1782,1862,1837-03-04,1841-03-04,1836,Richard Mentor Johnson,Democratic
9,William Henry Harrison,1773,1841,1841-03-04,1841-04-04,1840,John Tyler,Whig
10,John Tyler,1790,1862,1841-04-04,1845-03-04,NA,"Vacant throughout, presidency","Whig, Unaffiliated"
11,James K. Polk,1795,1849,1845-03-04,1849-03-04,1844,George M. Dallas,Democratic
12,Zachary Taylor,1784,1850,1849-03-04,1850-07-09,1848,Millard Fillmore,Whig
13,Millard Fillmore,1800,1874,1850-07-09,1853-03-04,NA,"Vacant throughout, presidency",Whig
14,Franklin Pierce,1804,1869,1853-03-04,1857-03-04,1852,"William R. King, Vacant after April 18, 1853",Democratic
15,James Buchanan,1791,1868,1857-03-04,1861-03-04,1856,John C. Breckinridge,Democratic
16,Abraham Lincoln,1809,1865,1861-03-04,1865-04-15,"1860, 1864","Hannibal Hamlin, Andrew Johnson","Republican, National Union"
17,Andrew Johnson,1808,1875,1865-04-15,1869-03-04,NA,"Vacant throughout, presidency","National Union, Democratic"
18,Ulysses S. Grant,1822,1885,1869-03-04,1877-03-04,"1868, 1872","Schuyler Colfax, Henry Wilson, Vacant after November 22, 1875",Republican
19,Rutherford B. Hayes,1822,1893,1877-03-04,1881-03-04,1876,William A. Wheeler,Republican
20,James A. Garfield,1831,1881,1881-03-04,1881-09-19,1880,Chester A. Arthur,Republican
21,Chester A. Arthur,1829,1886,1881-09-19,1885-03-04,NA,"Vacant throughout, presidency",Republican
22,Grover Cleveland,1837,1908,1885-03-04,1889-03-04,1884,"Thomas A. Hendricks, Vacant after November 25, 1885",Democratic
23,Benjamin Harrison,1833,1901,1889-03-04,1893-03-04,1888,Levi P. Morton,Republican
24,Grover Cleveland,1837,1908,1893-03-04,1897-03-04,1892,Adlai Stevenson I,Democratic
25,William McKinley,1843,1901,1897-03-04,1901-09-14,"1896, 1900","Garret Hobart, Vacant after November 21, 1899, Theodore Roosevelt",Republican
26,Theodore Roosevelt,1858,1919,1901-09-14,1909-03-04,"NA, 1904","Vacant through March 4, 1905, Charles W. Fairbanks",Republican
27,William Howard Taft,1857,1930,1909-03-04,1913-03-04,1908,"James S. Sherman, Vacant after October 30, 1912",Republican
28,Woodrow Wilson,1856,1924,1913-03-04,1921-03-04,"1912, 1916",Thomas R. Marshall,Democratic
29,Warren G. Harding,1865,1923,1921-03-04,1923-08-02,1920,Calvin Coolidge,Republican
30,Calvin Coolidge,1872,1933,1923-08-02,1929-03-04,"NA, 1924","Vacant through March 4, 1925, Charles G. Dawes",Republican
31,Herbert Hoover,1874,1964,1929-03-04,1933-03-04,1928,Charles Curtis,Republican
32,Franklin D. Roosevelt,1882,1945,1933-03-04,1945-04-12,"1932, 1936, 1940, 1944","John Nance Garner, Henry A. Wallace, Harry S. Truman",Democratic
33,Harry S. Truman,1884,1972,1945-04-12,1953-01-20,"NA, 1948","Vacant through January 20, 1949, Alben W. Barkley",Democratic
34,Dwight D. Eisenhower,1890,1969,1953-01-20,1961-01-20,"1952, 1956",Richard Nixon,Republican
35,John F. Kennedy,1917,1963,1961-01-20,1963-11-22,1960,Lyndon B. Johnson,Democratic
36,Lyndon B. Johnson,1908,1973,1963-11-22,1969-01-20,"NA, 1964","Vacant through January 20, 1965, Hubert Humphrey",Democratic
37,Richard Nixon,1913,1994,1969-01-20,1974-08-09,"1968, 1972",Spiro Agnew,Republican
38,Gerald Ford,1913,2006,1974-08-09,1977-01-20,NA,"Vacant through December 19, 1974, Nelson Rockefeller",Republican
39,Jimmy Carter,1924,2024,1977-01-20,1981-01-20,1976,Walter Mondale,Democratic
40,Ronald Reagan,1911,2004,1981-01-20,1989-01-20,"1980, 1984",George H. W. Bush,Republican
41,George H.W. Bush,1924,2018,1989-01-20,1993-01-20,1988,Dan Quayle,Republican
42,William J. Clinton,1946,NA,1993-01-20,2001-01-20,"1992, 1996",Al Gore,Democratic
43,George W. Bush,1946,NA,2001-01-20,2009-01-20,"2000, 2004",Dick Cheney,Republican
44,Barack Obama,1961,NA,2009-01-20,2017-01-20,"2008, 2012",Joe Biden,Democratic
45,Donald Trump,1946,NA,2017-01-20,2021-01-20,2016,Mike Pence,Republican
46,Joseph R. Biden Jr.,1942,NA,2021-01-20,2025-01-20,2020,Kamala Harris,Democratic
47,Donald Trump,1946,NA,2025-01-20,NA,2024,JD Vance,Republican
